time_s,U0_C,U1_C,TTEST_C,TFO_C,TTI_C,U5_C,TTO_C,TMI_C,THM_C,THI_C,valve,mode,pump_cmd_pct,pump_freq_hz,pump_rotation_speed_rpm,pump_input_power_kw,pump_input_power_w,pump_output_current_a,pump_output_voltage_v,pump_pressure_before_bar_abs,pump_pressure_after_bar_abs,pump_pressure_tank_bar_abs,pump_pressure_error_bar,pump_max_freq_hz,fluid_meter_valid,fluid_concentration_pct,fluid_flow_velocity_mps,fluid_volume_flow_m3s,fluid_mass_flow_kgs,fluid_temperature_c,fluid_density_kg_m3,fluid_delta_p_bar,scale_weight_kg,scale_age_s,scale_tare_kg,TTEST_raw_C,TFO_raw_C,TTI_raw_C,TTO_raw_C,TMI_raw_C,THM_raw_C,THI_raw_C,flow_velocity_mps_si,volume_flow_m3s_si,volume_flow_lmin_si,mass_flow_kgs_si,mass_flow_kgmin_si,temperature_c_si,density_kg_m3_si,pump_running,liquid_like_density,positive_mass_flow,usable_sample,delta_p_bar_recomputed,t_min,cmd_bucket_pct,pump_input_power_logged_w,pump_input_power_restored_w,pump_input_power_source,pump_speed_rpm,pump_speed_source,loop_temperature_tc_count,loop_mean_temperature_C,log_name,log_key,run_label,run_elapsed_min,source_row_index,dTHM_dt_C_per_min,THM_transition_smooth_C,dTHM_dt_transition_C_per_min,below100_segment,interpolated_threshold_sample,threshold_crossing_type,minus100_cycle_number,cycle_phase,elapsed_from_60_min,time_since_segment_start_min,time_since_cold_min_min,cycle_min_C,THM_uncertainty_C
3387.7696435326766,,,21.19000002865647,-64.3499999633132,-64.1300000478758,,-69.90999999938428,-66.14000004834486,-100.0,-67.71122861540563,1,O,40,28.11,843,0.07,67.0,2.56,108,2.446,2.75,2.349,0.05,71.7,1,100,0.942459,4.5031e-05,0.072186867,-59.358,1603,0.304,178.6,0.13,156,21.2275189,-63.6215691,-63.4188871,-69.2935823,-65.7087144,-102.697778,-62.7477778,0.942459,4.5031e-05,2.7018600000000004,0.072186867,4.33121202,-59.358,1603,True,True,True,True,0.3039999999999998,56.494749999999996,40,67,,logged whole-watt VFD power,843.0,logged_rpm,4,-66.13250001472953,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.462827392211274,,-64.71106482460875,-98.84817185112594,-60.32393915557078,3,True,down_to_below_minus100,1,cooldown,-3.537172607788726,0.0,-0.7640392744553921,-121.56688105352409,0.6675136485918786
3389.685,,,21.19000002865647,-64.3499999633132,-64.1300000478758,,-69.90999999938428,-66.14000004834486,-102.11207003499148,-67.71122861540563,1,O,40,28.11,843,0.07,67.0,2.56,108,2.446,2.75,2.349,0.05,71.7,1,100,0.942459,4.5031e-05,0.072186867,-59.358,1603,0.304,178.6,0.13,156,21.2275189,-63.6215691,-63.4188871,-69.2935823,-65.7087144,-102.697778,-62.7477778,0.942459,4.5031e-05,2.7018600000000004,0.072186867,4.33121202,-59.358,1603,True,True,True,True,0.3039999999999998,56.494749999999996,40,67,,logged whole-watt VFD power,843.0,logged_rpm,4,-66.13250001472953,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.494749999999996,1037.0,-56.507632021482095,-100.79185046795327,-60.82362635820391,3,False,raw_csv_sample,1,cooldown,-3.5052500000000038,0.031922607788722246,-0.7321166666666699,-121.56688105352409,0.6887453041544638
3391.777,,,21.229999954148603,-64.25000001311825,-64.15999995369324,,-69.71000001816583,-65.71999996546502,-103.74568012051712,-67.51910770223402,1,O,40,28.12,844,0.07,68.0,2.56,108,2.349,2.936,2.31,0.05,71.7,1,100,0.941686,4.4993e-05,0.072127502,-59.379,1603,0.587,178.6,0.222,156,21.2668741,-63.5217301,-63.4489727,-69.0948113,-65.2902164,-104.347778,-62.5677778,0.941686,4.4993e-05,2.69958,0.072127502,4.3276501199999995,-59.379,1603,True,True,True,True,0.5869999999999997,56.52961666666667,40,68,,logged whole-watt VFD power,844.0,logged_rpm,4,-65.95999998761059,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.52961666666667,1038.0,-46.85306172635296,-102.910350522807,-59.72260466587545,3,False,raw_csv_sample,1,cooldown,-3.4703833333333307,0.06678927445539529,-0.6972499999999968,-121.56688105352409,0.7051725281661773
3393.869,,,21.19000002865647,-64.29999998821572,-64.07000003681058,,-69.67000002192212,-65.45000004121802,-105.37929020604275,-67.97806321703284,1,O,40,28.11,843,0.07,68.0,2.56,108,2.505,2.897,2.368,0.05,71.7,1,100,0.939672,4.4904e-05,0.071971002,-59.33,1603,0.392,178.6,0.314,156,21.2275189,-63.5716496,-63.3587157,-69.0550571,-65.0211821,-105.997778,-62.9977778,0.939672,4.4904e-05,2.69424,0.071971002,4.318260120000001,-59.33,1603,True,True,True,True,0.3919999999999999,56.564483333333335,40,68,,logged whole-watt VFD power,843.0,logged_rpm,4,-65.8725000220416,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.564483333333335,1039.0,-43.16160837822417,-104.95650676665399,-56.2446998935161,3,False,raw_csv_sample,1,cooldown,-3.4355166666666648,0.10165594112206122,-0.6623833333333309,-121.56688105352409,0.7216040312921893
3395.961,,,21.229999954148603,-63.709999981581916,-63.76999998148448,,-69.43999999321174,-65.38999995769309,-106.75548294475828,-67.90334952857722,1,O,40,28.11,843,0.07,68.0,2.56,108,2.671,2.75,2.407,0.05,71.7,1,100,0.940478,4.494e-05,0.07199478,-59.046,1602,0.079,178.6,0.401,156,21.2668741,-62.9825992,-63.0578587,-68.8264704,-64.9613966,-107.387778,-62.9277778,0.940478,4.494e-05,2.6963999999999997,0.07199478,4.3196867999999995,-59.046,1602,True,True,True,True,0.07900000000000018,56.599349999999994,40,68,,logged whole-watt VFD power,843.0,logged_rpm,4,-65.57749997849281,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.599349999999994,1040.0,-44.73658621599952,-106.8324809287144,-51.43734952388013,3,False,raw_csv_sample,1,cooldown,-3.400650000000006,0.13652260778872005,-0.627516666666672,-121.56688105352409,0.735449437789087
3398.052,,,21.20999999140254,-63.79000004189909,-63.629999988904025,,-69.24000001199326,-65.54999997970837,-108.49800036931897,-67.89267614451214,1,O,40,28.12,844,0.07,66.0,2.56,108,2.349,2.818,2.339,0.05,71.7,1,100,0.940163,4.4928e-05,0.071982934,-58.989,1602,0.469,178.4,0.492,156,21.2471965,-63.0624705,-62.9174588,-68.6276994,-65.1208244,-109.147778,-62.9177778,0.940163,4.4928e-05,2.6956800000000003,0.071982934,4.31897604,-58.989,1602,True,True,True,True,0.46899999999999986,56.6342,40,66,,logged whole-watt VFD power,844.0,logged_rpm,4,-65.55250000562619,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.6342,1041.0,-49.84660740495542,-108.54262619479526,-46.99204305025273,3,False,raw_csv_sample,1,cooldown,-3.3658,0.17137260778872587,-0.5926666666666662,-121.56688105352409,0.7529841333529786
3400.144,,,21.119999955768794,-63.78000004687959,-63.50000003140616,,-69.28000000823697,-65.48999999654237,-110.23061712669465,-68.42634534776656,1,O,40,28.12,844,0.07,66.0,2.56,108,2.437,2.936,2.232,0.05,71.7,1,100,0.941629,4.5017e-05,0.072140977,-59.019,1603,0.499,178.4,0.58,156,21.1586471,-63.0524866,-62.7870875,-68.6674536,-65.061039,-110.897778,-63.4177778,0.941629,4.5017e-05,2.70102,0.072140977,4.328458619999999,-59.019,1603,True,True,True,True,0.4990000000000001,56.669066666666666,40,66,,logged whole-watt VFD power,844.0,logged_rpm,4,-65.51250002076628,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.669066666666666,1042.0,-41.1739027292233,-110.10854019488852,-42.13795828654861,3,False,raw_csv_sample,1,cooldown,-3.330933333333334,0.2062392744553918,-0.5578000000000003,-121.56688105352409,0.7704231653549238
3402.236,,,21.20999999140254,-63.75999995667938,-63.41000001480834,,-69.36000000072434,-65.38999995769309,-111.36919385297008,-68.45836549996181,1,O,40,28.1,843,0.07,67.0,2.56,108,2.485,2.897,2.31,0.05,71.7,1,100,0.941651,4.4986e-05,0.07207596,-58.947,1602,0.412,178.4,0.668,156,21.2471965,-63.0325187,-62.6968304,-68.746962,-64.9613966,-112.047778,-63.4477778,0.941651,4.4986e-05,2.69916,0.07207596,4.3245575999999994,-58.947,1602,True,True,True,True,0.4119999999999999,56.70393333333333,40,67,,logged whole-watt VFD power,843.0,logged_rpm,4,-65.47999998247629,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.70393333333333,1043.0,-34.93626793393537,-111.48104648597719,-37.451731281004186,3,False,raw_csv_sample,1,cooldown,-3.2960666666666683,0.24110594112205774,-0.5229333333333344,-121.56688105352409,0.7818851257675662
3404.327,,,21.20999999140254,-63.75999995667938,-63.47000002587355,,-69.3400000026025,-65.40999998553474,-112.6661812542056,-68.36230504337603,1,O,40,28.1,843,0.07,68.0,2.55,108,2.407,2.818,2.368,0.05,71.7,1,100,0.941241,4.4978e-05,0.072059472,-58.9,1602,0.411,178.4,0.76,156,21.2471965,-63.0325187,-62.7570018,-68.7270849,-64.9813251,-113.357778,-63.3577778,0.941241,4.4978e-05,2.69868,0.072059472,4.32356832,-58.9,1602,True,True,True,True,0.41100000000000003,56.73878333333334,40,68,,logged whole-watt VFD power,843.0,logged_rpm,4,-65.49499999267255,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.73878333333334,1044.0,-34.510432834858875,-112.71961380192099,-34.09391209855221,3,False,raw_csv_sample,1,cooldown,-3.2612166666666624,0.27595594112206356,-0.48808333333332854,-121.56688105352409,0.7949436472710258
3406.419,,,21.150000001526116,-63.78000004687959,-63.47000002587355,,-69.43999999321174,-65.51999998812536,-113.77505597892603,-68.78924040597957,1,O,40,28.1,843,0.07,67.0,2.55,108,2.446,2.759,2.329,0.05,71.7,1,100,0.942617,4.5033e-05,0.072160169,-58.929,1602,0.313,178.4,0.851,156,21.1881636,-63.0524866,-62.7570018,-68.8264704,-65.0909317,-114.477778,-63.7577778,0.942617,4.5033e-05,2.7019800000000003,0.072160169,4.32961014,-58.929,1602,True,True,True,True,0.3129999999999997,56.773649999999996,40,67,,logged whole-watt VFD power,843.0,logged_rpm,4,-65.55250001352258,log_20260424_153546.csv,0424,"-100°C, bypass closed",56.773649999999996,1045.0,-30.802554050127355,-113.85791217826936,-31.814603355472855,3,False,raw_csv_sample,1,cooldown,-3.2263500000000036,0.3108226077887224,-0.4532166666666697,-121.56688105352409,0.806109680832475
