minus100_cycle_number,below100_segment,start_elapsed_min,cold_min_elapsed_min,end_elapsed_min,duration_min,cooldown_duration_min,warmup_duration_min,start_THM_C,cold_min_THM_C,end_THM_C,raw_csv_samples,cooldown_samples,warmup_samples,cooldown_rate_median_C_per_min,warmup_rate_median_C_per_min,median_TMI_C,median_density_kg_m3,median_mass_flow_kgmin,median_volume_flow_lmin,median_delta_p_bar,median_pump_cmd_pct
1,3,56.462827392211274,57.226866666666666,58.530932390258464,2.0681049980471897,0.7640392744553921,1.3040657235917976,-100.0,-121.56688105352409,-100.0,59,23,38,-30.802554050127355,14.34283093905708,-66.51000001144114,1604.0,4.33121202,2.7018600000000004,0.3719999999999999,40.0
2,5,60.22057916813558,61.37571666666667,62.02773486611976,1.8071556979841787,1.15513749853109,0.6520181994530887,-100.0,-122.21042442054932,-100.0,52,35,19,-5.965493789125503,30.95827620732689,-71.99999997651395,1610.5,3.24644595,2.0146800000000002,0.395,30.0
3,7,63.94022912710387,64.68808333333332,65.91041619932055,1.9701870722166817,0.7478542062294551,1.2223328659872266,-100.0,-124.6954918839853,-100.0,57,23,36,-25.55920454959255,14.341880338556393,-73.87000002055483,1617.0,4.3345662,2.68176,0.577,40.0
4,9,67.10035592922058,67.89555,69.20434613791348,2.103990208692892,0.7951940707794165,1.3087961379134754,-100.0,-125.52714792752563,-100.0,60,24,38,-21.797661174390555,9.94124640397547,-76.67500003643667,1622.0,4.3614642,2.68989,0.601,40.0
5,11,70.31433146357895,71.0683,72.51958786559733,2.205256402018378,0.7539685364210413,1.4512878655973367,-100.0,-126.94294333498117,-100.0,63,23,42,-31.763760340968247,7.667374115537882,-78.72999996166679,1626.0,4.38478824,2.6955,0.6360000000000001,40.0
6,13,73.24192548740169,74.06701666666666,75.53114675827318,2.2892212708714936,0.8250911792649731,1.4641300916065205,-100.0,-127.68549337385647,-100.0,65,25,42,-21.018321493459325,8.731894003194725,-80.8299999746303,1630.0,4.402745459999999,2.70066,0.6539999999999999,40.0
7,15,76.25593133088698,77.17038333333333,78.56575698021315,2.3098256493261715,0.9144520024463532,1.3953736468798184,-100.0,-128.75476542983688,-100.0,67,28,41,-22.43267803868025,15.620607836441877,-82.23000001672561,1634.0,4.419373380000001,2.70564,0.7329999999999997,40.0
8,17,79.24031536055418,80.16908333333335,81.88437854781264,2.6440631872584675,0.9287679727791698,1.7152952144792977,-100.0,-130.15075950292243,-100.0,76,28,50,-24.497604403468586,7.738652157863498,-83.7299999973113,1637.0,4.42087509,2.70216,0.7329999999999999,40.0
9,19,82.47986471606316,83.44678333333333,85.35927650079057,2.8794117847274094,0.9669186172701671,1.9124931674572423,-100.0,-130.40817684973254,-100.0,82,29,55,-21.015877092162327,7.382906696275313,-84.91999999796671,1639.0,4.43790207,2.70543,0.7625,40.0
10,21,86.00334368695766,87.03836666666666,88.73924151776436,2.7358978308066924,1.035022979708998,1.7008748510976943,-100.0,-130.73489886683765,-100.0,78,31,49,-17.325306233477477,8.944675420486647,-85.6199999688349,1641.5,4.454841869999999,2.7141900000000003,0.7134999999999998,40.0
