dataset,window_min,samples,P_HX_median_W,P_HX_p10_W,P_HX_p90_W,Heat_flux_median_W_m2,UA_median_W_per_K,UA_flux_median_W_per_m2K,DeltaT_median_C,source
nomix,2-6,239,219.316895,173.784802,253.857784,1827.640795,6.064719,50.539326,37.27,cell16_output00
nomix,6-10,239,237.693693,197.100359,251.93935,1980.780778,4.023659,33.530492,58.135,cell16_output00
nomix,10-14,238,189.965245,156.447914,246.76517,1583.043706,2.077494,17.312449,91.44,cell16_output00
mixed,2-6,239,179.409639,104.793964,238.344605,1495.080321,57.66862,480.571831,2.765,cell16_output00
mixed,6-10,238,293.922649,248.288127,322.134466,2449.355409,56.849437,473.745312,5.08,cell16_output00
mixed,10-14,239,326.419087,311.813384,348.04999,2720.15906,40.30249,335.854082,8.125,cell16_output00
mixed_60psi,2-6,228,768.815047,695.46949,874.487988,6406.792058,9.604903,80.04086,86.02,cell16_output00
mixed_60psi,6-10,237,601.242748,1.366425,772.577062,5010.356231,4.178344,34.81953,142.59,cell16_output00
mixed_60psi,10-14,32,17.227227,13.285658,22.12231,143.560225,0.127586,1.063215,128.9675,cell16_output00
auto,2-6,239,215.794686,185.203303,256.780593,1798.289051,7.015769,58.464744,30.78,cell16_output00
auto,6-10,239,154.57106,26.462212,217.629132,1288.09217,5.46482,45.540167,28.6,cell16_output00
auto,10-14,142,130.204819,119.200288,151.946582,1085.040157,4.902696,40.855798,26.9875,cell16_output00
