dataset,time_s,time_s_raw,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,P_HX_W_m2,UA_corr_W_per_K,UA_per_area_W_per_m2K,valve_state
mixed,0.0,65.313,0.0,2.565,-28.275,30.84,-7142.100883135672,-7142.100883135672,-59517.50735946394,-231.5856317488869,-1929.8802645740575,1
mixed,1.0049999999999955,66.318,0.016749999999999925,4.095,-28.314999999999998,32.41,-7141.413306018983,-7141.413306018983,-59511.7775501582,-220.34598290709607,-1836.2165242258006,1
mixed,2.0090000000000003,67.322,0.03348333333333334,5.385,-27.92,33.305,-7092.495984798274,-7092.495984798274,-59104.13320665228,-212.95589205219258,-1774.6324337682715,1
mixed,3.013999999999996,68.327,0.05023333333333326,6.51,-27.002499999999998,33.512499999999996,-7002.3654646606965,-7002.3654646606965,-58353.04553883914,-208.94786914317635,-1741.232242859803,1
mixed,4.018999999999991,69.332,0.06698333333333319,7.5,-26.067500000000003,33.5675,-6893.149333236616,-6893.149333236616,-57442.91111030514,-205.35188301889076,-1711.2656918240898,1
mixed,5.024000000000001,70.337,0.08373333333333335,8.24,-24.872500000000002,33.112500000000004,-6793.874621013883,-6793.874621013883,-56615.62184178236,-205.17552649343548,-1709.7960541119623,1
mixed,6.030000000000001,71.343,0.10050000000000002,8.76,-22.19,30.950000000000003,-6702.798948952437,-6702.798948952437,-55856.65790793698,-216.56862516809164,-1804.7385430674303,1
mixed,7.033999999999992,72.347,0.1172333333333332,9.285,-20.387500000000003,29.672500000000003,-6603.979705985751,-6603.979705985751,-55033.16421654793,-222.56229525607046,-1854.6857938005871,1
mixed,8.039000000000001,73.352,0.13398333333333337,9.585,-19.090000000000003,28.675000000000004,-6510.4217673362255,-6510.4217673362255,-54253.51472780188,-227.0417355653435,-1892.014463044529,1
mixed,9.043999999999997,74.357,0.15073333333333327,9.86,-18.244999999999997,28.104999999999997,-6406.245568294568,-6406.245568294568,-53385.37973578807,-227.93971066694783,-1899.497588891232,1
mixed,10.048999999999992,75.362,0.1674833333333332,9.93,-16.825,26.755,-6294.40609582997,-6294.40609582997,-52453.38413191641,-235.26092677368604,-1960.5077231140503,1
mixed,11.052999999999997,76.366,0.1842166666666666,9.99,-15.59,25.58,-6175.120281129488,-6175.120281129488,-51459.33567607907,-241.40423303868212,-2011.7019419890178,1
mixed,12.058999999999997,77.372,0.2009833333333333,10.24,-14.825,25.064999999999998,-6049.869207311735,-6049.869207311735,-50415.5767275978,-241.36721353727253,-2011.3934461439378,1
mixed,13.063000000000002,78.376,0.2177166666666667,10.57,-13.57,24.14,-5919.064105145866,-5919.064105145866,-49325.53420954889,-245.19735315434409,-2043.3112762862008,1
mixed,14.069000000000003,79.382,0.23448333333333338,10.889999999999999,-11.0275,21.917499999999997,-5782.383933090945,-5782.383933090945,-48186.53277575788,-263.82497698601327,-2198.541474883444,1
mixed,15.073999999999998,80.387,0.2512333333333333,11.125,-9.149999999999999,20.275,-5636.765501285398,-5636.765501285398,-46973.04584404499,-278.0155610991565,-2316.7963424929712,1
mixed,16.078000000000003,81.391,0.26796666666666674,11.364999999999998,-6.1125,17.4775,-5488.774838639452,-5488.774838639452,-45739.79032199544,-314.0480525612618,-2617.0671046771818,1
mixed,17.084000000000003,82.397,0.2847333333333334,11.655,-2.0925,13.747499999999999,-5351.309550876714,-5351.309550876714,-44594.24625730595,-389.25692314069573,-3243.807692839131,1
mixed,18.087999999999994,83.401,0.30146666666666655,12.035,2.57,9.465,-5225.2595320980345,-5225.2595320980345,-43543.82943415029,-552.0612289591162,-4600.510241325968,1
mixed,19.093000000000004,84.406,0.3182166666666667,12.395,5.07,7.324999999999999,-5119.453488170596,-5119.453488170596,-42662.11240142163,-698.901500091549,-5824.1791674295755,1
mixed,20.096999999999994,85.41,0.3349499999999999,12.72,6.9675,5.7525,-5030.482366765521,-5030.482366765521,-41920.686389712675,-874.4862871387259,-7287.385726156049,1
mixed,21.102999999999994,86.416,0.35171666666666657,13.675,8.3175,5.3575,-4950.475100195991,-4950.475100195991,-41253.95916829993,-924.0270835643474,-7700.225696369563,1
mixed,22.107,87.42,0.36845,14.34,9.5575,4.782500000000001,-4873.10916947636,-4873.10916947636,-40609.24307896967,-1018.9459842083344,-8491.216535069454,1
mixed,23.111999999999995,88.425,0.38519999999999993,14.620000000000001,10.457500000000001,4.1625,-4582.706522296818,-4582.706522296818,-38189.22101914015,-1100.9505158671034,-9174.587632225861,1
mixed,24.117999999999995,89.431,0.4019666666666666,14.73,11.0075,3.7225,-4349.186816471457,-4349.186816471457,-36243.223470595476,-1168.3510588237627,-9736.258823531356,1
mixed,25.122,90.435,0.4187,14.79,11.930000000000001,2.8599999999999977,-4160.937047760235,-4160.937047760235,-34674.47539800196,-1454.873093622461,-12123.942446853842,1
mixed,26.126999999999995,91.44,0.43544999999999995,14.92,13.14,1.7799999999999994,-4009.5229232350266,-4009.5229232350266,-33412.69102695856,-2252.540968109566,-18771.174734246386,1
mixed,27.13199999999999,92.445,0.4521999999999998,15.225000000000001,14.0475,1.177500000000002,-3883.8545985649203,-3883.8545985649203,-32365.454988041005,-3298.3903172525806,-27486.585977104838,1
mixed,28.137,93.45,0.46895000000000003,15.524999999999999,14.875,0.6499999999999986,-3773.003342233162,-3773.003342233162,-31441.694518609685,-5804.62052651257,-48371.837720938085,1
mixed,29.141999999999996,94.455,0.4856999999999999,15.69,15.4675,0.22250000000000014,-3669.6062193775324,-3669.6062193775324,-30580.051828146105,-16492.612221921485,-137438.43518267904,1
mixed,30.14699999999999,95.46,0.5024499999999998,15.95,15.7925,0.15749999999999886,-3573.4597252079916,-3573.4597252079916,-29778.831043399932,-22688.63317592392,-189071.94313269932,1
mixed,31.150999999999996,96.464,0.5191833333333332,16.05,16.025000000000002,0.02499999999999858,-3472.6170960990094,-3472.6170960990094,-28938.47580082508,-138904.68384396826,-1157539.0320330688,1
mixed,32.157,97.47,0.5359499999999999,16.145,16.035,0.10999999999999943,-3363.6734516556717,-3363.6734516556717,-28030.612097130597,-30578.849560506264,-254823.7463375522,1
mixed,33.16199999999999,98.475,0.5526999999999999,16.21,16.067500000000003,0.1424999999999983,-3239.11112452987,-3239.11112452987,-26992.592704415583,-22730.604382666024,-189421.70318888355,1
mixed,34.167,99.48,0.56945,16.259999999999998,16.185,0.07499999999999929,-3096.069019418947,-3096.069019418947,-25800.57516182456,-41280.92025891969,-344007.6688243307,1
mixed,35.172,100.485,0.5861999999999999,16.285,16.057499999999997,0.2275000000000027,-2946.004858318327,-2946.004858318327,-24550.04048598606,-12949.471904695789,-107912.26587246491,1
mixed,36.176,101.489,0.6029333333333333,16.275,16.075,0.1999999999999993,-2794.289844024607,-2794.289844024607,-23285.748700205062,-13971.449220123086,-116428.74350102572,1
mixed,37.182,102.495,0.6197,16.19,15.997499999999999,0.19250000000000256,-2641.90818906625,-2641.90818906625,-22015.901575552085,-13724.198384759558,-114368.31987299632,1
mixed,38.18599999999999,103.499,0.6364333333333332,16.16,15.947499999999998,0.21250000000000213,-2483.3917310656143,-2483.3917310656143,-20694.931092213454,-11686.549322661596,-97387.91102217998,1
mixed,39.19199999999999,104.505,0.6531999999999999,16.31,15.9325,0.3774999999999995,-2320.356098948169,-2320.356098948169,-19336.300824568076,-6146.638672710389,-51221.98893925324,1
mixed,40.196,105.509,0.6699333333333333,16.49,16.2275,0.2624999999999993,-2159.5483653494457,-2159.5483653494457,-17996.23637791205,-8226.850915616958,-68557.09096347465,1
mixed,41.202,106.515,0.6867,16.845,16.6375,0.20749999999999957,-2003.9892642776465,-2003.9892642776465,-16699.910535647054,-9657.779586880244,-80481.49655733537,1
mixed,42.206999999999994,107.52,0.7034499999999999,17.189999999999998,17.03,0.1599999999999966,-1851.9737633655602,-1851.9737633655602,-15433.114694713002,-11574.836021034998,-96456.96684195832,1
mixed,43.212,108.525,0.7202000000000001,17.43,17.4225,0.007500000000000284,-1705.3079072475552,-1705.3079072475552,-14210.89922706296,-227374.38763299875,-1894786.563608323,1
mixed,44.217,109.53,0.73695,17.564999999999998,17.5725,-0.007500000000003837,-1597.271590861747,-1597.271590861747,-13310.596590514559,212969.54544812397,1774746.2120676998,1
mixed,45.221999999999994,110.535,0.7536999999999999,17.705,17.87,-0.1650000000000027,-1512.507236241259,-1512.507236241259,-12604.22696867716,9166.710522674148,76389.2543556179,1
mixed,46.227000000000004,111.54,0.7704500000000001,17.924999999999997,18.1775,-0.2525000000000013,-1432.3408148047035,-1432.3408148047035,-11936.173456705863,5672.636890315629,47271.97408596358,1
mixed,47.230999999999995,112.544,0.7871833333333332,18.105,18.3425,-0.2375000000000007,-1351.0584501764536,-1351.0584501764536,-11258.820418137113,5688.667158637682,47405.55965531402,1
mixed,48.236999999999995,113.55,0.8039499999999999,18.240000000000002,18.5125,-0.2724999999999973,-1266.219341634082,-1266.219341634082,-10551.827846950684,4646.676483060897,38722.30402550748,1
mixed,49.241,114.554,0.8206833333333333,18.25,18.4675,-0.21750000000000114,-1182.5918518960568,-1182.5918518960568,-9854.932099133806,5437.203916763451,45310.032639695426,1
mixed,50.247,115.56,0.83745,18.259999999999998,18.470000000000002,-0.2100000000000044,-1109.3164842973317,-1109.3164842973317,-9244.304035811097,5282.459449034802,44020.49540862335,1
mixed,51.25099999999999,116.564,0.8541833333333332,18.32,18.509999999999998,-0.18999999999999773,-1046.4845470763194,-1046.4845470763194,-8720.704558969328,5507.813405664905,45898.44504720754,1
mixed,52.25699999999999,117.57,0.8709499999999999,18.35,18.415,-0.06499999999999773,-982.8343931164468,-982.8343931164468,-8190.286609303724,15120.529124868941,126004.40937390785,1
mixed,53.262,118.575,0.8877,18.355,18.3475,0.007500000000000284,-935.9300630109112,-935.9300630109112,-7799.417191757594,-124790.67506811676,-1039922.2922343063,1
mixed,54.266999999999996,119.58,0.90445,18.305,18.32,-0.015000000000000568,-882.639337930346,-882.639337930346,-7355.327816086216,58842.6225286875,490355.1877390625,1
mixed,55.27199999999999,120.585,0.9211999999999999,18.305,18.220000000000002,0.0849999999999973,-834.3364173337069,-834.3364173337069,-6952.803477780891,-9815.722556867451,-81797.68797389543,1
mixed,56.275999999999996,121.589,0.9379333333333333,18.255,18.1525,0.10249999999999915,-781.9010451262376,-781.9010451262376,-6515.842042718647,-7628.30287928043,-63569.190660670254,1
mixed,57.282,122.595,0.9547,18.23,18.11,0.120000000000001,-726.3782213053748,-726.3782213053748,-6053.1518442114575,-6053.151844211407,-50442.93203509506,1
mixed,58.286,123.599,0.9714333333333334,18.215,17.9725,0.24249999999999972,-688.4127130269745,-688.4127130269745,-5736.772608558122,-2838.815311451445,-23656.794262095373,1
mixed,59.292,124.605,0.9882000000000001,18.215,18.0075,0.20749999999999957,-617.2735318178841,-617.2735318178841,-5143.946098482367,-2974.8122015319777,-24790.101679433148,1
mixed,60.29599999999999,125.609,1.0049333333333332,18.18,17.845,0.33500000000000085,-539.7841035739391,-539.7841035739391,-4498.200863116159,-1611.2958315639933,-13427.465263033278,1
mixed,61.30199999999999,126.615,1.0216999999999998,18.16,17.8425,0.317499999999999,-452.3433213997509,-452.3433213997509,-3769.5276783312574,-1424.7033744874088,-11872.528120728408,1
mixed,62.307,127.62,1.03845,18.21,17.7775,0.432500000000001,-366.0059296373693,-366.0059296373693,-3050.0494136447446,-846.2564847106786,-7052.137372588989,1
mixed,63.312,128.625,1.0552,18.215,17.625,0.5899999999999999,-287.6960686711352,-287.6960686711352,-2397.467238926127,-487.62045537480554,-4063.5037947900464,1
mixed,64.317,129.63,1.07195,18.19,17.67,0.5199999999999996,-224.49956470567452,-224.49956470567452,-1870.829705880621,-431.7299321262975,-3597.749434385813,1
