dataset,time_s,time_s_raw,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,P_HX_W_m2,UA_corr_W_per_K,UA_per_area_W_per_m2K,valve_state
nomix,0.0,12.053,0.0,10.094999999999999,9.9,0.1949999999999985,-11.221333293590522,-11.221333293590522,-93.51111077992103,-57.545298941490294,-479.54415784575247,1
nomix,1.004999999999999,13.058,0.016749999999999984,10.09,9.817499999999999,0.27250000000000085,-17.48011838975797,-17.48011838975797,-145.66765324798308,-64.1472234486529,-534.5601954054408,1
nomix,2.01,14.063,0.033499999999999995,10.065,9.84,0.22499999999999964,-17.599422595273897,-17.599422595273897,-146.6618549606158,-78.21965597899522,-651.8304664916269,1
nomix,3.014999999999999,15.068,0.05024999999999998,10.07,9.8125,0.2575000000000003,-12.58301978626658,-12.58301978626658,-104.85849821888816,-48.86609625734589,-407.2174688112157,1
nomix,4.018999999999998,16.072,0.06698333333333331,10.059999999999999,9.73,0.3299999999999983,-15.081129132914246,-15.081129132914246,-125.67607610761871,-45.70039131186159,-380.8365942655132,1
nomix,5.024999999999999,17.078,0.08374999999999998,10.035,9.685,0.34999999999999964,-18.8071739904808,-18.8071739904808,-156.72644992067333,-53.734782829945196,-447.78985691621,1
nomix,6.029,18.082,0.10048333333333333,10.035,9.627500000000001,0.40749999999999886,-17.682005767763442,-17.682005767763442,-147.35004806469536,-43.39142519696562,-361.5952099747135,1
nomix,7.033999999999999,19.087,0.11723333333333331,10.075,9.5425,0.5324999999999989,-13.979104918279468,-13.979104918279468,-116.49254098566223,-26.25184022212112,-218.7653351843427,1
nomix,8.038,20.091,0.13396666666666668,10.11,9.567499999999999,0.5425000000000004,-11.36468098057068,-11.36468098057068,-94.70567483808901,-20.94872070151276,-174.57267251260632,1
nomix,9.044,21.097,0.15073333333333333,10.025,9.4475,0.5775000000000006,-12.443489650635895,-12.443489650635895,-103.69574708863246,-21.547168226209322,-179.55973521841102,1
nomix,10.049,22.102,0.16748333333333332,10.05,9.42,0.6300000000000008,-9.281334365166112,-9.281334365166112,-77.34445304305093,-14.73227677010492,-122.76897308420767,1
nomix,11.053,23.106,0.18421666666666667,10.07,9.3475,0.7225000000000001,-7.852568652506242,-7.852568652506242,-65.43807210421868,-10.868607131496526,-90.5717260958044,1
nomix,12.058,24.111,0.20096666666666665,10.12,9.245000000000001,0.8749999999999982,-9.775735677267855,-9.775735677267855,-81.46446397723213,-11.172269345449,-93.10224454540833,1
nomix,13.062999999999999,25.116,0.21771666666666664,10.045,9.1375,0.9075000000000006,-9.484567546725607,-9.484567546725607,-79.03806288938006,-10.451314101075042,-87.09428417562535,1
nomix,14.067999999999998,26.121,0.23446666666666663,10.11,9.075000000000001,1.0349999999999984,-14.150299898594,-14.150299898594,-117.91916582161667,-13.671787341636737,-113.93156118030615,1
nomix,15.072,27.125,0.2512,10.12,9.049999999999999,1.0700000000000003,-13.696765690660545,-13.696765690660545,-114.13971408883788,-12.80071559874817,-106.67262998956808,1
nomix,16.078,28.131,0.26796666666666663,10.065000000000001,8.9525,1.1125000000000007,-10.387238102876324,-10.387238102876324,-86.56031752396937,-9.33684323854051,-77.80702698783759,1
nomix,17.082,29.135,0.2847,10.07,8.8225,1.2475000000000005,-9.938293093179912,-9.938293093179912,-82.8191091098326,-7.9665676097634535,-66.38806341469545,1
nomix,18.087,30.14,0.30145,10.105,8.7875,1.3175000000000008,-7.7842387696775,-7.7842387696775,-64.86865641397917,-5.908340622146106,-49.236171851217556,1
nomix,19.090999999999998,31.144,0.3181833333333333,10.045,8.674999999999999,1.370000000000001,-8.376378579663125,-8.376378579663125,-69.80315483052605,-6.114144948659211,-50.951207905493426,1
nomix,20.096999999999998,32.15,0.33494999999999997,10.075,8.57,1.504999999999999,-8.337305010250653,-8.337305010250653,-69.47754175208877,-5.539737548339308,-46.16447956949423,1
nomix,21.102,33.155,0.3517,10.094999999999999,8.5175,1.5774999999999988,-8.780469429979666,-8.780469429979666,-73.17057858316389,-5.566066199670157,-46.38388499725131,1
nomix,22.105999999999998,34.159,0.3684333333333333,10.075,8.4325,1.6425,-9.141672610482324,-9.141672610482324,-76.1806050873527,-5.565706307751795,-46.38088589793163,1
nomix,23.112,35.165,0.3852,10.120000000000001,8.325,1.7950000000000017,-9.076112496188944,-9.076112496188944,-75.63427080157454,-5.0563300814423044,-42.136084012019204,1
nomix,24.115999999999996,36.169,0.40193333333333325,10.09,8.2725,1.817499999999999,-11.948596656587688,-11.948596656587688,-99.5716388048974,-6.574193483679611,-54.784945697330095,1
nomix,25.121,37.174,0.4186833333333333,10.055,8.1325,1.9224999999999994,-10.113704119650839,-10.113704119650839,-84.280867663757,-5.2607043535244955,-43.83920294603747,1
nomix,26.124999999999996,38.178,0.4354166666666666,10.105,8.105,2.0,-9.261839188730557,-9.261839188730557,-77.1819932394213,-4.630919594365278,-38.59099661971065,1
nomix,27.130999999999997,39.184,0.45218333333333327,10.120000000000001,8.0025,2.1175000000000015,-9.338296665838916,-9.338296665838916,-77.81913888199097,-4.4100574573029085,-36.75047881085757,1
nomix,28.135,40.188,0.4689166666666667,10.085,7.955,2.130000000000001,-6.6187142560823276,-6.6187142560823276,-55.1559521340194,-3.107377585015176,-25.8948132084598,1
nomix,29.139999999999997,41.193,0.48566666666666664,10.06,7.8100000000000005,2.25,-6.454847080369036,-6.454847080369036,-53.79039233640864,-2.8688209246084604,-23.906841038403837,1
nomix,30.145999999999997,42.199,0.5024333333333333,10.065,7.76,2.3049999999999997,-7.61257873958467,-7.61257873958467,-63.43815616320558,-3.302637197216777,-27.521976643473142,1
