time_s,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,P_bath_W,P_HX_W,UA_corr_W_per_K
12.053,0.20088333333333336,10.094999999999999,9.82,0.2749999999999986,-13.621385126104379,130.51695057139892,474.6070929869076
13.058,0.21763333333333332,10.09,9.705,0.3849999999999998,-21.218817622406085,122.91951807509722,319.2714755197332
14.063,0.23438333333333333,10.065,9.66,0.40499999999999936,-21.36363896296224,122.77469673454105,303.1473993445463
15.068,0.2511333333333333,10.07,9.605,0.46499999999999986,-15.274313138538462,128.86402255896482,277.12693023433303
16.072,0.26786666666666664,10.059999999999999,9.48,0.5799999999999983,-18.306725473816623,125.83161022368667,216.95105210980523
17.078,0.28463333333333335,10.035,9.39,0.6449999999999996,-22.829707785653856,121.30862791184944,188.07539211139462
18.082,0.30136666666666667,10.035,9.275,0.7599999999999998,-21.463885267746694,122.6744504297566,161.41375056546926
19.087,0.31811666666666666,10.075,9.125,0.9499999999999993,-16.968997072653238,127.16933862485006,133.8624617103686
20.091,0.33485000000000004,10.11,9.075,1.0350000000000001,-13.795392438807296,130.342943258696,125.93521087796714
21.097,0.3516166666666667,10.025,8.915,1.1100000000000012,-15.104939886326084,129.0333958111772,116.24630253259194
22.102,0.3683666666666667,10.05,8.790000000000001,1.2599999999999998,-11.266453509968827,132.87188218753448,105.45387475201152
23.106,0.38510000000000005,10.07,8.675,1.3949999999999996,-9.532099176311737,134.60623652119156,96.49192582164272
24.111,0.40185,10.12,8.49,1.629999999999999,-11.866598831638399,132.2717368658649,81.14830482568404
25.116,0.41859999999999997,10.045,8.325,1.7200000000000006,-11.513154803299523,132.62518089420377,77.10766331058356
26.121,0.43534999999999996,10.11,8.190000000000001,1.9199999999999982,-17.176807739839585,126.9615279576637,66.12579581128324
27.125,0.45208333333333334,10.12,8.08,2.039999999999999,-16.626270299024153,127.51206539847914,62.50591441101921
28.131,0.46885,10.065000000000001,7.885,2.1800000000000015,-12.608891198042876,131.52944449946042,60.33460756855979
29.135,0.48558333333333337,10.07,7.665,2.4050000000000002,-12.06392450670328,132.07441119080002,54.91659508972973
30.14,0.5023333333333333,10.105,7.555,2.5500000000000007,-9.449154696787058,134.68918100071625,52.819286666947534
31.144,0.5190666666666667,10.045,7.33,2.715,-10.167943114284915,133.97039258321837,49.34452765496073
32.15,0.5358333333333333,10.075,7.16,2.914999999999999,-10.120512374704234,134.01782332279907,45.975239561852185
33.155,0.5525833333333333,10.094999999999999,7.015,3.079999999999999,-10.658462106466539,133.47987359103675,43.337621295791166
34.159,0.5693166666666667,10.075,6.845,3.2299999999999995,-11.096920487631674,133.04141520987162,41.18929263463518
35.165,0.5860833333333333,10.120000000000001,6.63,3.490000000000001,-11.017338182893337,133.12099751460997,38.14355229644983
36.169,0.6028166666666667,10.09,6.495,3.5949999999999998,-14.50419772032545,129.63413797717783,36.05956550130121
37.174,0.6195666666666667,10.055,6.285,3.7699999999999996,-12.276852960424579,131.86148273707872,34.97652061991478
38.178,0.6363,10.105,6.15,3.955,-11.242788647753438,132.89554704974987,33.60190823002525
39.184,0.6530666666666666,10.120000000000001,5.984999999999999,4.135000000000002,-11.335599075366636,132.80273662213665,32.11674404404754
40.188,0.6698000000000001,10.085,5.84,4.245000000000001,-8.034344365588463,136.10399133191484,32.0621887707691
41.193,0.68655,10.06,5.640000000000001,4.42,-7.835428795448352,136.30290690205493,30.837761742546366
42.199,0.7033166666666666,10.065,5.5,4.5649999999999995,-9.240779513604057,134.89755618389924,29.550395659123605
43.203,0.7200500000000001,10.100000000000001,5.37,4.730000000000001,-12.369808279237022,131.76852741826627,27.858039623312102
44.208,0.7368,10.055,5.14,4.915,-10.301566896046404,133.83676880145688,27.23026832176132
45.212,0.7535333333333334,10.07,5.03,5.04,-8.3526692727084,135.7856664247949,26.941600481110097
46.218,0.7703000000000001,10.11,4.904999999999999,5.205,-8.087501097341038,136.05083460016226,26.138488876111865
47.222,0.7870333333333334,10.085,4.7250000000000005,5.36,-11.070609274672572,133.06772642283073,24.82606836246842
48.227,0.8037833333333333,10.155000000000001,4.63,5.525000000000001,-8.631112045904864,135.50722365159842,24.526194326081157
49.232,0.8205333333333333,10.09,4.52,5.57,-12.064927340662434,132.07340835684087,23.711563439289204
50.237,0.8372833333333334,10.045,4.265000000000001,5.779999999999999,-15.764080327512467,128.37425536999083,22.21007878373544
51.241,0.8540166666666666,10.085,4.17,5.915000000000001,-16.09552125433601,128.0428144431673,21.647136845844003
52.246,0.8707666666666667,10.055,4.035,6.02,-15.697804967776086,128.44053072972721,21.33563633384173
53.252,0.8875333333333334,10.1,3.88,6.22,-16.16188324910758,127.97645244839572,20.574992355047545
54.256,0.9042666666666667,10.09,3.7600000000000002,6.33,-11.547957249823323,132.59037844767997,20.946347306110578
55.261,0.9210166666666667,10.1,3.6449999999999996,6.455,-9.294026224417653,134.84430947308564,20.889900770423804
56.265,0.93775,10.100000000000001,3.5300000000000002,6.570000000000001,-8.551600086150476,135.58673561135282,20.63725047356968
57.271,0.9545166666666667,10.065000000000001,3.3600000000000003,6.705000000000001,-4.295582887713104,139.8427528097902,20.85648811480838
58.275,0.97125,10.129999999999999,3.2150000000000003,6.914999999999999,-2.001890434325694,142.1364452631776,20.554800471898425
59.28,0.988,10.059999999999999,3.0900000000000003,6.969999999999999,2.744554902650515,146.88289060015381,21.073585451958945
60.284,1.0047333333333333,10.075,2.9800000000000004,7.094999999999999,6.4966478269958206,150.63498352449912,21.231146374136596
61.29,1.0215,10.105,2.8000000000000003,7.305,8.962719661509903,153.1010553590132,20.958392246271487
62.295,1.0382500000000001,10.075,2.7300000000000004,7.344999999999999,10.023428578925998,154.1617642764293,20.988667702713318
63.299,1.0549833333333334,10.129999999999999,2.5650000000000004,7.564999999999999,15.035034376232051,159.17337007373536,21.040762732813665
64.304,1.0717333333333334,10.120000000000001,2.42,7.700000000000001,19.30425774881192,163.44259344631521,21.226310837183792
65.309,1.0884833333333332,10.115,2.3949999999999996,7.720000000000001,20.868589992156004,165.00692568965928,21.373954104878145
66.314,1.1052333333333333,10.115,2.22,7.895,22.07508023172595,166.21341592922926,21.05299758444956
67.318,1.1219666666666666,10.095,2.15,7.945,31.421979458459965,175.56031515596325,22.096955966766927
68.324,1.1387333333333334,10.105,2.01,8.095,36.65912792033127,180.79746361783458,22.334461225180306
69.328,1.1554666666666666,10.11,1.9100000000000001,8.2,38.10414232403674,182.24247802154002,22.224692441651225
70.333,1.1722166666666667,10.094999999999999,1.7599999999999998,8.334999999999999,41.4187391132607,185.557074810764,22.262396497992082
71.337,1.18895,10.13,1.6950000000000003,8.435,37.6401394091801,181.7784751066834,21.550500901800046
72.343,1.2057166666666668,10.125,1.5700000000000003,8.555,41.93576405136396,186.07409974886724,21.750333109160405
73.348,1.2224666666666666,10.125,1.44,8.685,47.517297487545584,191.65563318504888,22.067430418543335
74.352,1.2392,10.11,1.3399999999999999,8.77,52.29036605326008,196.42870175076337,22.39779951548043
75.357,1.25595,10.09,1.145,8.945,58.00467115858306,202.14300685608634,22.59843564629249
76.362,1.2727,10.065000000000001,1.0100000000000002,9.055000000000001,61.35876194015659,205.4970976376599,22.694323317245704
77.367,1.28945,10.075,0.8450000000000002,9.229999999999999,64.68650637874985,208.82484207625316,22.624576606311287
78.371,1.3061833333333333,10.08,0.6550000000000002,9.425,66.22431439900507,210.36265009650836,22.31964457257383
79.377,1.3229499999999998,10.04,0.5500000000000007,9.489999999999998,68.05399863269056,212.19233433019386,22.359571583792825
80.381,1.3396833333333333,10.024999999999999,0.28500000000000014,9.739999999999998,73.15800930908092,217.2963450065842,22.3096863456452
81.386,1.3564333333333332,10.01,0.14999999999999947,9.86,73.42305962398973,217.56139532149302,22.06505023544554
82.391,1.3731833333333334,10.059999999999999,-0.03000000000000025,10.09,80.4364194398917,224.574755137395,22.25716106416204
83.396,1.3899333333333332,10.03,-0.26500000000000057,10.295,83.81753293524386,227.95586863274715,22.14238646262721
84.401,1.4066833333333333,10.035,-0.2999999999999998,10.335,86.50854186260615,230.64687756010943,22.31706604355195
85.405,1.4234166666666668,10.0,-0.5650000000000004,10.565000000000001,89.69013092196468,233.82846661946797,22.132367876901842
86.41,1.4401666666666666,10.035,-0.7800000000000002,10.815000000000001,91.50645053370667,235.64478623120996,21.78869960528987
87.415,1.4569166666666669,10.075,-0.9849999999999999,11.059999999999999,95.08601389757976,239.22434959508305,21.629688028488523
88.42,1.4736666666666667,10.045,-1.1349999999999998,11.18,97.4457275571177,241.58406325462101,21.608592419912434
89.424,1.4904000000000002,9.95,-1.315,11.264999999999999,100.08355596179939,244.22189165930268,21.679706316848886
90.43,1.5071666666666668,10.0,-1.5299999999999998,11.53,102.72181010547938,246.8601458029827,21.41024681725782
91.435,1.5239166666666668,10.02,-1.71,11.73,104.48458017857207,248.62291587607535,21.19547449923916
92.439,1.5406499999999999,10.01,-1.8700000000000006,11.88,106.22109837688228,250.35943407438558,21.07402643723784
93.444,1.5574000000000001,10.055,-2.065,12.12,107.34761184157463,251.48594753907793,20.749665638537785
94.449,1.57415,9.98,-2.2649999999999997,12.245000000000001,105.18677202719492,249.32510772469823,20.36138078601047
