speed_rpm,frequency_Hz,differential_pressure_bar,flow_lmin
200.0,6.666666666666667,0.0,0.55
200.0,6.666666666666667,2.0,0.1425925925925926
200.0,6.666666666666667,4.0,
200.0,6.666666666666667,6.0,
200.0,6.666666666666667,8.0,
200.0,6.666666666666667,10.0,
200.0,6.666666666666667,12.0,
200.0,6.666666666666667,14.0,
200.0,6.666666666666667,16.0,
200.0,6.666666666666667,18.0,
200.0,6.666666666666667,20.0,
300.0,10.0,0.0,1.0
300.0,10.0,2.0,0.5238095238095238
300.0,10.0,4.0,0.04761904761904767
300.0,10.0,6.0,
300.0,10.0,8.0,
300.0,10.0,10.0,
300.0,10.0,12.0,
300.0,10.0,14.0,
300.0,10.0,16.0,
300.0,10.0,18.0,
300.0,10.0,20.0,
500.0,16.666666666666668,0.0,1.6
500.0,16.666666666666668,2.0,1.2363636363636363
500.0,16.666666666666668,4.0,0.8727272727272728
500.0,16.666666666666668,6.0,0.5090909090909093
500.0,16.666666666666668,8.0,0.1454545454545455
500.0,16.666666666666668,10.0,
500.0,16.666666666666668,12.0,
500.0,16.666666666666668,14.0,
500.0,16.666666666666668,16.0,
500.0,16.666666666666668,18.0,
500.0,16.666666666666668,20.0,
750.0,25.0,0.0,2.4
750.0,25.0,2.0,2.1142857142857143
750.0,25.0,4.0,1.8285714285714285
750.0,25.0,6.0,1.5428571428571427
750.0,25.0,8.0,1.2571428571428571
750.0,25.0,10.0,0.9714285714285715
750.0,25.0,12.0,0.6857142857142857
750.0,25.0,14.0,0.3999999999999999
750.0,25.0,16.0,0.11428571428571432
750.0,25.0,18.0,
750.0,25.0,20.0,
1000.0,33.333333333333336,0.0,3.1
1000.0,33.333333333333336,2.0,2.815
1000.0,33.333333333333336,4.0,2.5300000000000002
1000.0,33.333333333333336,6.0,2.245
1000.0,33.333333333333336,8.0,1.96
1000.0,33.333333333333336,10.0,1.6749999999999998
1000.0,33.333333333333336,12.0,1.39
1000.0,33.333333333333336,14.0,1.105
1000.0,33.333333333333336,16.0,0.8199999999999998
1000.0,33.333333333333336,18.0,0.5349999999999997
1000.0,33.333333333333336,20.0,0.24999999999999956
1350.0,45.0,0.0,4.3
1350.0,45.0,2.0,3.9899999999999998
1350.0,45.0,4.0,3.6799999999999997
1350.0,45.0,6.0,3.37
1350.0,45.0,8.0,3.06
1350.0,45.0,10.0,2.75
1350.0,45.0,12.0,2.4400000000000004
1350.0,45.0,14.0,2.1300000000000003
1350.0,45.0,16.0,1.8200000000000003
1350.0,45.0,18.0,1.5100000000000002
1350.0,45.0,20.0,1.2000000000000002
1500.0,50.0,0.0,4.8
1500.0,50.0,2.0,4.484999999999999
1500.0,50.0,4.0,4.17
1500.0,50.0,6.0,3.8549999999999995
1500.0,50.0,8.0,3.54
1500.0,50.0,10.0,3.2249999999999996
1500.0,50.0,12.0,2.9099999999999997
1500.0,50.0,14.0,2.5949999999999998
1500.0,50.0,16.0,2.28
1500.0,50.0,18.0,1.9649999999999999
1500.0,50.0,20.0,1.65
2000.0,66.66666666666667,0.0,6.2
2000.0,66.66666666666667,2.0,5.91
2000.0,66.66666666666667,4.0,5.62
2000.0,66.66666666666667,6.0,5.33
2000.0,66.66666666666667,8.0,5.04
2000.0,66.66666666666667,10.0,4.75
2000.0,66.66666666666667,12.0,4.46
2000.0,66.66666666666667,14.0,4.17
2000.0,66.66666666666667,16.0,3.88
2000.0,66.66666666666667,18.0,3.59
2000.0,66.66666666666667,20.0,3.3
2500.0,83.33333333333333,0.0,7.9
2500.0,83.33333333333333,2.0,7.58
2500.0,83.33333333333333,4.0,7.260000000000001
2500.0,83.33333333333333,6.0,6.94
2500.0,83.33333333333333,8.0,6.62
2500.0,83.33333333333333,10.0,6.300000000000001
2500.0,83.33333333333333,12.0,5.98
2500.0,83.33333333333333,14.0,5.66
2500.0,83.33333333333333,16.0,5.34
2500.0,83.33333333333333,18.0,5.0200000000000005
2500.0,83.33333333333333,20.0,4.7
3000.0,100.0,0.0,9.4
3000.0,100.0,2.0,9.1
3000.0,100.0,4.0,8.8
3000.0,100.0,6.0,8.5
3000.0,100.0,8.0,8.200000000000001
3000.0,100.0,10.0,7.9
3000.0,100.0,12.0,7.6000000000000005
3000.0,100.0,14.0,7.300000000000001
3000.0,100.0,16.0,7.0
3000.0,100.0,18.0,6.700000000000001
3000.0,100.0,20.0,6.4
