samples,tmi_C,tmi_p10_C,tmi_p90_C,delta_p_bar,delta_p_p10_bar,delta_p_p90_bar,delta_p_full_error_bar,tmi_error_C
521,-99.08,-99.68,-98.01,1.193,0.9780000000000002,1.388,0.1,1.0
547,-96.28,-96.918,-95.586,1.056,0.8278,1.3189999999999997,0.1,1.0
241,-93.7,-94.73,-92.58,0.9870000000000001,0.6849999999999996,1.249,0.1,1.0
324,-91.54,-92.3,-90.48,0.9090000000000003,0.6359999999999998,1.133,0.1,1.0
406,-88.56,-89.68,-87.84,0.8399999999999999,0.5569999999999999,1.0550000000000002,0.1,1.0
367,-86.25,-87.23,-85.19,0.7919999999999998,0.5534,0.986,0.1,1.0
298,-83.88,-84.73,-82.784,0.7429999999999999,0.5179999999999998,0.9480000000000001,0.1,1.0
209,-81.33,-82.336,-80.35,0.694,0.5062,0.8992,0.1,1.0
178,-79.13,-79.79,-77.84,0.6649999999999998,0.46970000000000023,0.8790000000000001,0.1,1.0
193,-76.52,-77.318,-75.38,0.625,0.46819999999999995,0.8184000000000001,0.1,1.0
203,-74.05,-74.84599999999999,-72.832,0.6060000000000003,0.44920000000000015,0.7701999999999999,0.1,1.0
161,-71.29,-72.17,-70.25,0.5949999999999998,0.40100000000000025,0.742,0.1,1.0
127,-68.82,-69.768,-67.798,0.5859999999999999,0.4258,0.7229999999999999,0.1,1.0
136,-66.1,-67.18,-65.16,0.5379999999999998,0.3720000000000001,0.7329999999999999,0.1,1.0
210,-63.82,-64.711,-62.742,0.5615000000000001,0.39490000000000003,0.6743999999999999,0.1,1.0
226,-61.175,-62.195,-60.235,0.524,0.375,0.6645000000000001,0.1,1.0
255,-58.81,-59.75,-57.77,0.502,0.37200000000000033,0.6645999999999999,0.1,1.0
243,-56.38,-57.28,-55.324,0.4930000000000001,0.34740000000000015,0.6588,0.1,1.0
241,-53.71,-54.72,-52.74,0.48999999999999977,0.34599999999999986,0.6539999999999999,0.1,1.0
328,-51.1,-52.13,-50.21,0.45999999999999996,0.3502000000000003,0.6269,0.1,1.0
367,-48.73,-49.79,-47.746,0.4730000000000001,0.333,0.6194,0.1,1.0
383,-46.2,-47.278,-45.2,0.45399999999999996,0.31620000000000004,0.6060000000000002,0.1,1.0
407,-43.73,-44.698,-42.77,0.44300000000000006,0.31699999999999995,0.571,0.1,1.0
416,-41.31,-42.26,-40.31,0.43399999999999994,0.31699999999999995,0.57,0.1,1.0
349,-38.74,-39.714,-37.756,0.43999999999999995,0.32099999999999973,0.5621999999999998,0.1,1.0
381,-36.23,-37.28,-35.23,0.42100000000000026,0.3039999999999998,0.5569999999999999,0.1,1.0
386,-33.74,-34.735,-32.724999999999994,0.41500000000000004,0.30700000000000005,0.542,0.1,1.0
268,-31.535,-32.323,-30.301,0.4249999999999998,0.31400000000000006,0.5283,0.1,1.0
190,-28.884999999999998,-29.76,-28.078999999999997,0.42100000000000026,0.3302000000000003,0.5470000000000002,0.1,1.0
5,-26.55,-27.276,-25.68,0.4930000000000001,0.401,0.549,0.1,1.0
5,-23.82,-24.618,-22.846,0.375,0.3326,0.4658,0.1,1.0
5,-13.92,-14.67,-12.998,0.405,0.3016,0.47339999999999993,0.1,1.0
5,-11.42,-12.03,-10.572000000000001,0.42399999999999993,0.38320000000000004,0.44400000000000006,0.1,1.0
5,-8.87,-9.682,-8.122,0.4149999999999998,0.38159999999999983,0.4534,0.1,1.0
7,-6.27,-7.042,-5.41,0.395,0.2624000000000001,0.4831999999999999,0.1,1.0
5,-4.34,-4.728,-4.093999999999999,0.357,0.3346,0.48940000000000017,0.1,1.0
