time_s,TMI_C,pump_cmd_pct,pump_freq_hz,pump_pressure_before_bar_abs,pump_pressure_after_bar_abs,pump_pressure_error_bar,source_log,t_min,delta_p_bar,delta_p_full_error_bar,tmi_error_C
3722.294,-73.26,40.0,21.08,2.076,2.681,0.05,log_20260424_153546.csv,62.03823333333333,0.605,0.1,1.0
3724.386,-73.08,40.0,28.14,2.281,2.848,0.05,log_20260424_153546.csv,62.0731,0.5669999999999997,0.1,1.0
3726.478,-73.01,40.0,28.14,2.076,2.887,0.05,log_20260424_153546.csv,62.10796666666667,0.8109999999999999,0.1,1.0
3728.57,-73.05,40.0,28.14,2.251,2.799,0.05,log_20260424_153546.csv,62.142833333333336,0.548,0.1,1.0
3730.661,-72.94,40.0,28.14,2.173,2.936,0.05,log_20260424_153546.csv,62.177683333333334,0.7629999999999999,0.1,1.0
3732.753,-72.71,40.0,28.14,2.32,2.73,0.05,log_20260424_153546.csv,62.21255,0.41000000000000014,0.1,1.0
3734.845,-72.5,40.0,28.14,2.134,2.887,0.05,log_20260424_153546.csv,62.247416666666666,0.7530000000000001,0.1,1.0
3736.936,-72.37,40.0,28.14,2.261,2.73,0.05,log_20260424_153546.csv,62.28226666666667,0.46899999999999986,0.1,1.0
3739.028,-72.22,40.0,28.14,2.173,2.809,0.05,log_20260424_153546.csv,62.31713333333333,0.6360000000000001,0.1,1.0
3741.119,-72.09,40.0,28.14,2.154,2.838,0.05,log_20260424_153546.csv,62.35198333333334,0.6840000000000002,0.1,1.0
3743.211,-72.07,40.0,28.14,2.359,2.867,0.05,log_20260424_153546.csv,62.386849999999995,0.508,0.1,1.0
3745.303,-71.87,40.0,28.15,2.212,2.838,0.05,log_20260424_153546.csv,62.42171666666666,0.6259999999999999,0.1,1.0
3747.394,-71.92,40.0,28.15,2.3,2.858,0.05,log_20260424_153546.csv,62.45656666666666,0.5580000000000003,0.1,1.0
3749.485,-71.77,40.0,28.14,2.125,2.652,0.05,log_20260424_153546.csv,62.491416666666666,0.5270000000000001,0.1,1.0
3751.577,-71.66,40.0,28.15,2.232,2.936,0.05,log_20260424_153546.csv,62.52628333333334,0.7039999999999997,0.1,1.0
3753.668,-71.55,40.0,28.14,2.056,2.73,0.05,log_20260424_153546.csv,62.56113333333334,0.6739999999999999,0.1,1.0
3755.76,-71.36,40.0,28.14,2.242,2.809,0.05,log_20260424_153546.csv,62.596000000000004,0.5670000000000002,0.1,1.0
3757.852,-71.25,40.0,28.15,2.154,2.818,0.05,log_20260424_153546.csv,62.63086666666666,0.6640000000000001,0.1,1.0
3759.943,-71.04,40.0,28.14,2.329,2.838,0.05,log_20260424_153546.csv,62.66571666666667,0.5089999999999999,0.1,1.0
3762.035,-70.87,40.0,28.14,2.125,2.759,0.05,log_20260424_153546.csv,62.700583333333334,0.6339999999999999,0.1,1.0
3764.126,-70.92,40.0,28.14,2.3,2.858,0.05,log_20260424_153546.csv,62.73543333333334,0.5580000000000003,0.1,1.0
3766.218,-70.65,40.0,28.14,2.232,2.936,0.05,log_20260424_153546.csv,62.7703,0.7039999999999997,0.1,1.0
3768.311,-70.43,40.0,28.14,2.31,2.975,0.05,log_20260424_153546.csv,62.80518333333334,0.665,0.1,1.0
3770.401,-70.17,40.0,28.14,2.349,2.779,0.05,log_20260424_153546.csv,62.84001666666666,0.4299999999999997,0.1,1.0
3772.493,-70.12,40.0,28.14,2.32,3.024,0.05,log_20260424_153546.csv,62.87488333333333,0.7040000000000002,0.1,1.0
3774.585,-70.0,40.0,28.13,2.368,2.769,0.05,log_20260424_153546.csv,62.90975,0.40100000000000025,0.1,1.0
3776.676,-69.91,40.0,28.12,2.212,2.867,0.05,log_20260424_153546.csv,62.9446,0.6549999999999998,0.1,1.0
3778.768,-69.84,40.0,28.12,2.232,2.858,0.05,log_20260424_153546.csv,62.97946666666667,0.6259999999999999,0.1,1.0
3780.86,-69.67,40.0,28.14,2.281,2.71,0.05,log_20260424_153546.csv,63.01433333333333,0.4289999999999998,0.1,1.0
3782.951,-69.65,40.0,28.11,2.212,2.828,0.05,log_20260424_153546.csv,63.04918333333333,0.6159999999999997,0.1,1.0
3785.043,-69.47,40.0,28.12,2.232,2.828,0.05,log_20260424_153546.csv,63.084050000000005,0.5959999999999996,0.1,1.0
3787.134,-69.39,40.0,28.11,2.281,2.926,0.05,log_20260424_153546.csv,63.118900000000004,0.645,0.1,1.0
3789.227,-69.44,40.0,28.12,2.32,2.779,0.05,log_20260424_153546.csv,63.15378333333333,0.4590000000000001,0.1,1.0
3791.319,-69.53,40.0,28.11,2.29,2.73,0.05,log_20260424_153546.csv,63.18865,0.43999999999999995,0.1,1.0
3793.41,-69.81,40.0,28.11,2.232,2.779,0.05,log_20260424_153546.csv,63.223499999999994,0.5469999999999997,0.1,1.0
3795.502,-69.85,40.0,28.11,2.339,2.907,0.05,log_20260424_153546.csv,63.25836666666667,0.5680000000000001,0.1,1.0
3797.594,-70.11,40.0,28.11,2.388,2.946,0.05,log_20260424_153546.csv,63.29323333333333,0.5580000000000003,0.1,1.0
3799.685,-70.25,40.0,28.11,2.437,2.74,0.05,log_20260424_153546.csv,63.32808333333333,0.3030000000000004,0.1,1.0
3801.777,-70.31,40.0,28.12,2.144,2.73,0.05,log_20260424_153546.csv,63.36295,0.5859999999999999,0.1,1.0
3803.877,-70.44,40.0,28.11,2.076,2.809,0.05,log_20260424_153546.csv,63.39795,0.7330000000000001,0.1,1.0
3805.972,-70.61,40.0,28.11,2.31,2.936,0.05,log_20260424_153546.csv,63.43286666666667,0.6259999999999999,0.1,1.0
3808.064,-70.72,40.0,28.11,2.242,2.887,0.05,log_20260424_153546.csv,63.46773333333333,0.645,0.1,1.0
3810.159,-70.79,40.0,28.11,2.32,2.887,0.05,log_20260424_153546.csv,63.50265,0.5670000000000002,0.1,1.0
3812.251,-70.93,40.0,28.11,2.281,2.926,0.05,log_20260424_153546.csv,63.53751666666667,0.645,0.1,1.0
3814.342,-70.86,40.0,28.12,2.164,2.691,0.05,log_20260424_153546.csv,63.57236666666667,0.5269999999999997,0.1,1.0
3816.434,-70.89,40.0,28.12,2.154,2.926,0.05,log_20260424_153546.csv,63.60723333333333,0.7720000000000002,0.1,1.0
