minus100_cycle_number,below100_segment,phase,thermocouple,cold_min_THM_C,n_samples,start_min,end_min,duration_min,slope_degC_per_min,intercept_degC,r_squared,temperature_start_fit_degC,temperature_end_fit_degC,temperature_start_sample_degC,temperature_end_sample_degC,window_center_min,window_width_min
1,15,cooldown,TFO_C,-122.347778,23,56.45988333333333,57.226866666666666,0.7669833333333358,0.5119354982706287,-92.24682532848328,0.25205962459401854,-63.34300682193172,-62.95036082701645,-63.8012794,-63.2621486,,
1,15,cooldown,THM_C,-122.347778,23,56.45988333333333,57.226866666666666,0.7669833333333358,-28.546486549936585,1507.8591951605765,0.9380511563620069,-103.87210502541211,-125.7667844344378,-100.367778,-122.347778,,
1,15,warmup,TFO_C,-122.347778,38,57.226866666666666,58.516949999999994,1.2900833333333281,-3.7243353254609617,150.55627889287496,0.87335352182893,-62.575762199236095,-67.38046513035783,-63.2621486,-67.2656945,,
1,15,warmup,THM_C,-122.347778,38,57.226866666666666,58.516949999999994,1.2900833333333281,15.444792916916345,-1009.5925226136358,0.9095373395355687,-125.73541766298638,-105.81034773408794,-122.347778,-101.057778,,
2,17,cooldown,TFO_C,-122.997778,34,60.225116666666665,61.37571666666667,1.1506000000000043,-1.4549438104691057,20.966658130054142,0.9221490979144673,-66.65750259889231,-68.33156094721807,-66.7964509,-68.6734251,,
2,17,cooldown,THM_C,-122.997778,34,60.225116666666665,61.37571666666667,1.1506000000000043,-15.293735104737888,811.5467591384976,0.7031551942515231,-109.52022181343727,-127.11719342494871,-100.927778,-122.997778,,
2,17,warmup,TFO_C,-122.997778,19,61.37571666666667,62.003283333333336,0.6275666666666666,-1.6301357141291661,31.2939729273727,0.9053962505305264,-68.75677479123334,-69.77979362756366,-68.6734251,-69.5919443,,
2,17,warmup,THM_C,-122.997778,19,61.37571666666667,62.003283333333336,0.6275666666666666,32.886214492662695,-2144.566066836089,0.9258962073499728,-126.15108389519605,-105.51279188675062,-122.997778,-101.907778,,
3,19,cooldown,TFO_C,-125.507778,22,63.95583333333333,64.68808333333332,0.7322499999999934,-1.6384525172946707,35.993432079286364,0.8871675092879304,-68.79516404139204,-69.99492089718105,-69.102733,-70.1610269,,
3,19,cooldown,THM_C,-125.507778,22,63.95583333333333,64.68808333333332,0.7322499999999934,-30.313652845577558,1831.0565679559832,0.8587689011810866,-107.67836116030071,-129.87553345647484,-101.907778,-125.507778,,
3,19,warmup,TFO_C,-125.507778,36,64.68808333333332,65.90831666666666,1.22023333333334,-1.517448402509437,27.768282760231475,0.9191883386042858,-70.39254595533252,-72.24418707768797,-70.1610269,-71.938162,,
3,19,warmup,THM_C,-125.507778,36,64.68808333333332,65.90831666666666,1.22023333333334,16.569627954113468,-1200.5678472725801,0.8095012771713461,-128.71037337455869,-108.49156102401753,-125.507778,-100.677778,,
4,21,cooldown,TFO_C,-126.347778,23,67.12853333333334,67.89555,0.7670166666666631,-1.3899786485696513,21.63173359475486,0.9245907288905959,-71.6754944483746,-72.74163123813832,-71.7784195,-72.8666651,,
4,21,cooldown,THM_C,-126.347778,23,67.12853333333334,67.89555,0.7670166666666631,-27.752498452490425,1753.622881383128,0.836096567256669,-109.36163606815717,-130.6482649228583,-102.957778,-126.347778,,
4,21,warmup,TFO_C,-126.347778,38,67.89555,69.18556666666667,1.2900166666666735,-1.1586080148116153,5.568182155295285,0.9302102667283746,-73.09614624474749,-74.59076989398805,-72.8666651,-74.4441221,,
4,21,warmup,THM_C,-126.347778,38,67.89555,69.18556666666667,1.2900166666666735,16.20316724227589,-1230.9026537524571,0.7427785308261194,-130.7797020961525,-109.877346300829,-126.347778,-101.237778,,
5,23,cooldown,TFO_C,-127.777778,22,70.33606666666667,71.0683,0.7322333333333262,-1.0912458506036498,2.8799802109891828,0.8413366678358611,-73.8739606867925,-74.67300727346617,-74.0048303,-74.8135266,,
5,23,cooldown,THM_C,-127.777778,22,70.33606666666667,71.0683,0.7322333333333262,-32.464043727144286,2175.007025398677,0.8774883974401004,-108.3861184633256,-132.15737341513113,-102.677778,-127.777778,,
5,23,warmup,TFO_C,-127.777778,42,71.0683,72.49778333333333,1.4294833333333372,-1.2572388808084478,14.333577571841905,0.915261477564333,-75.0162523811171,-76.81345440725144,-74.8135266,-76.450887,,
