time_s,U0_C,U1_C,TTEST_C,TFO_C,TTI_C,U5_C,TTO_C,TMI_C,THM_C,THI_C,valve,mode,pump_cmd_pct,pump_freq_hz,pump_rotation_speed_rpm,pump_input_power_kw,pump_input_power_w,pump_output_current_a,pump_output_voltage_v,pump_pressure_before_bar_abs,pump_pressure_after_bar_abs,pump_pressure_tank_bar_abs,pump_pressure_error_bar,pump_max_freq_hz,fluid_meter_valid,fluid_concentration_pct,fluid_flow_velocity_mps,fluid_volume_flow_m3s,fluid_mass_flow_kgs,fluid_temperature_c,fluid_density_kg_m3,fluid_delta_p_bar,scale_weight_kg,scale_age_s,scale_tare_kg,elapsed_min,minus100_segment,minus100_cycle_number,cycle_phase,time_since_phase_start_min,cold_min_THM_C
3387.593,,,21.2275189,-63.8012794,-63.5693155,,-69.6414316,-66.0474984,-100.367778,-62.7277778,1,O,40,28.11,843,0.07,67,2.56,108,2.437,2.809,2.271,0.05,71.7,1,100,0.941576,4.499e-05,0.072137033,-59.449,1603,0.372,178.6,0.043,156,56.45988333333333,15,1,cooldown,0.0,-122.347778
3389.685,,,21.2275189,-63.6215691,-63.4188871,,-69.2935823,-65.7087144,-102.697778,-62.7477778,1,O,40,28.11,843,0.07,67,2.56,108,2.446,2.75,2.349,0.05,71.7,1,100,0.942459,4.5031e-05,0.072186867,-59.358,1603,0.304,178.6,0.13,156,56.494749999999996,15,1,cooldown,0.034866666666665935,-122.347778
3391.777,,,21.2668741,-63.5217301,-63.4489727,,-69.0948113,-65.2902164,-104.347778,-62.5677778,1,O,40,28.12,844,0.07,68,2.56,108,2.349,2.936,2.31,0.05,71.7,1,100,0.941686,4.4993e-05,0.072127502,-59.379,1603,0.587,178.6,0.222,156,56.52961666666667,15,1,cooldown,0.06973333333333898,-122.347778
3393.869,,,21.2275189,-63.5716496,-63.3587157,,-69.0550571,-65.0211821,-105.997778,-62.9977778,1,O,40,28.11,843,0.07,68,2.56,108,2.505,2.897,2.368,0.05,71.7,1,100,0.939672,4.4904e-05,0.071971002,-59.33,1603,0.392,178.6,0.314,156,56.564483333333335,15,1,cooldown,0.10460000000000491,-122.347778
3395.961,,,21.2668741,-62.9825992,-63.0578587,,-68.8264704,-64.9613966,-107.387778,-62.9277778,1,O,40,28.11,843,0.07,68,2.56,108,2.671,2.75,2.407,0.05,71.7,1,100,0.940478,4.494e-05,0.07199478,-59.046,1602,0.079,178.6,0.401,156,56.599349999999994,15,1,cooldown,0.13946666666666374,-122.347778
3398.052,,,21.2471965,-63.0624705,-62.9174588,,-68.6276994,-65.1208244,-109.147778,-62.9177778,1,O,40,28.12,844,0.07,66,2.56,108,2.349,2.818,2.339,0.05,71.7,1,100,0.940163,4.4928e-05,0.071982934,-58.989,1602,0.469,178.4,0.492,156,56.6342,15,1,cooldown,0.17431666666666956,-122.347778
3400.144,,,21.1586471,-63.0524866,-62.7870875,,-68.6674536,-65.061039,-110.897778,-63.4177778,1,O,40,28.12,844,0.07,66,2.56,108,2.437,2.936,2.232,0.05,71.7,1,100,0.941629,4.5017e-05,0.072140977,-59.019,1603,0.499,178.4,0.58,156,56.669066666666666,15,1,cooldown,0.2091833333333355,-122.347778
3402.236,,,21.2471965,-63.0325187,-62.6968304,,-68.746962,-64.9613966,-112.047778,-63.4477778,1,O,40,28.1,843,0.07,67,2.56,108,2.485,2.897,2.31,0.05,71.7,1,100,0.941651,4.4986e-05,0.07207596,-58.947,1602,0.412,178.4,0.668,156,56.70393333333333,15,1,cooldown,0.24405000000000143,-122.347778
3404.327,,,21.2471965,-63.0325187,-62.7570018,,-68.7270849,-64.9813251,-113.357778,-63.3577778,1,O,40,28.1,843,0.07,68,2.55,108,2.407,2.818,2.368,0.05,71.7,1,100,0.941241,4.4978e-05,0.072059472,-58.9,1602,0.411,178.4,0.76,156,56.73878333333334,15,1,cooldown,0.27890000000000725,-122.347778
3406.419,,,21.1881636,-63.0524866,-62.7570018,,-68.8264704,-65.0909317,-114.477778,-63.7577778,1,O,40,28.1,843,0.07,67,2.55,108,2.446,2.759,2.329,0.05,71.7,1,100,0.942617,4.5033e-05,0.072160169,-58.929,1602,0.313,178.4,0.851,156,56.773649999999996,15,1,cooldown,0.3137666666666661,-122.347778
