# RECONSTRUCTED HX RAW-LIKE CSV; not an original logger export.
# Source: analysis/docs/HX_performance_analysis.ipynb cells 9, 11, 12, 14, 16, 17, 21
time_s,temp0_C,temp1_C,temp2_C,temp3_C,temp4_C,temp5_C,temp6_C,temp7_C,THM_C,THI_C,valve,mode
2906.500000,,-0.830719,-64.921606,-0.710719,-2.028749,,,,,,0,A
2907.504950,,-0.822803,-64.921606,-0.702803,-2.007542,,,,,,0,A
2908.509900,,-0.823294,-64.921606,-0.703294,-1.921606,,,,,,0,A
2909.514850,,-0.828229,-64.921606,-0.708229,-1.921606,,,,,,0,A
2910.519800,,-0.866773,-64.921606,-0.746773,-1.921606,,,,,,0,A
2911.524750,,-0.882841,-64.921606,-0.762841,-1.921606,,,,,,0,A
2912.529699,,-0.910868,-64.921606,-0.790868,-1.921606,,,,,,0,A
2913.534649,,-0.941237,-64.921606,-0.821237,-1.921606,,,,,,0,A
2914.539599,,-0.938423,-64.921606,-0.818423,-1.921606,,,,,,0,A
2915.544549,,-0.945827,-64.921606,-0.825827,-1.942303,,,,,,0,A
2916.549499,,-0.947477,-64.936087,-0.827477,-2.014268,,,,,,0,A
2917.554449,,-0.864985,-65.123460,-0.744985,-1.826895,,,,,,0,A
2918.559399,,-0.833219,-65.135892,-0.713219,-1.639523,,,,,,0,A
2919.564349,,-0.858506,-65.135892,-0.738506,-1.526164,,,,,,0,A
2920.569299,,-0.899347,-65.257006,-0.779347,-1.493035,,,,,,0,A
2921.574249,,-0.935224,-65.350178,-0.815224,-1.540135,,,,,,0,A
2922.579198,,-0.935834,-65.417465,-0.815834,-1.667465,,,,,,0,A
2923.584148,,-0.911662,-65.604838,-0.791662,-1.814463,,,,,,0,A
2924.589098,,-0.902267,-65.792210,-0.782267,-1.814463,,,,,,0,A
2925.594048,,-0.909391,-65.979583,-0.789391,-1.814463,,,,,,0,A
2926.598998,,-1.023776,-66.166955,-0.903776,-1.814463,,,,,,0,A
2927.603948,,-1.093584,-66.354328,-0.973584,-1.814463,,,,,,0,A
2928.608898,,-1.190975,-66.661794,-1.070975,-1.934557,,,,,,0,A
2929.613848,,-1.082523,-67.036539,-0.962523,-2.028749,,,,,,0,A
2930.618798,,-1.139203,-67.411284,-1.019203,-2.095016,,,,,,0,A
2931.623748,,-1.171464,-67.786029,-1.051464,-2.223358,,,,,,0,A
2932.628698,,-1.206750,-68.160774,-1.086750,-2.135892,,,,,,0,A
2933.633647,,-1.239078,-68.535519,-1.119078,-2.135892,,,,,,0,A
