# RECONSTRUCTED HX RAW-LIKE CSV; not an original logger export.
# Source: analysis/docs/HX_performance_analysis.ipynb cells 9, 11, 12, 14, 16, 17, 21
time_s,temp0_C,temp1_C,temp2_C,temp3_C,temp4_C,temp5_C,temp6_C,temp7_C,THM_C,THI_C,valve,mode
974.600000,,16.711056,16.073583,16.861056,17.378528,,,,,,0,O
975.604711,,16.721819,16.080643,16.871819,17.385588,,,,,,0,O
976.609421,,16.730405,16.081031,16.880405,17.385976,,,,,,0,O
977.614132,,16.738495,16.061694,16.888495,17.366639,,,,,,0,O
978.618843,,16.745716,16.025319,16.895716,17.330264,,,,,,0,O
979.623553,,16.746329,15.951639,16.896329,17.256584,,,,,,0,O
980.628264,,16.744026,15.840197,16.894026,17.145142,,,,,,0,O
981.632975,,16.740561,15.683570,16.890561,16.988515,,,,,,0,O
982.637685,,16.736502,15.440790,16.886502,16.811115,,,,,,0,O
983.642396,,16.732508,15.072499,16.882508,16.777088,,,,,,0,O
984.647107,,16.728924,14.525186,16.878924,16.759647,,,,,,0,O
985.651818,,16.726029,13.969203,16.876029,16.733535,,,,,,0,O
986.656528,,16.724405,13.457011,16.874405,16.751215,,,,,,0,O
987.661239,,16.725467,12.932388,16.875467,16.756463,,,,,,0,O
988.665950,,16.726578,12.448195,16.876578,16.802141,,,,,,0,O
989.670660,,16.728558,12.085411,16.878558,16.783213,,,,,,0,O
990.675371,,16.731936,11.827227,16.881936,16.718938,,,,,,0,O
991.680082,,16.734622,11.409160,16.884622,16.830743,,,,,,0,O
992.684792,,16.733879,11.016547,16.883879,16.863153,,,,,,0,O
993.689503,,16.728523,10.653447,16.878523,16.764988,,,,,,0,O
994.694214,,16.712958,10.180294,16.862958,16.669513,,,,,,0,O
995.698924,,16.689702,9.540454,16.839702,16.676233,,,,,,0,O
996.703635,,16.662060,9.026449,16.812060,16.715765,,,,,,0,O
997.708346,,16.669842,8.751684,16.819842,16.705936,,,,,,0,O
998.713056,,16.659847,8.243757,16.809847,16.591473,,,,,,0,O
999.717767,,16.638305,7.601942,16.788305,16.479529,,,,,,0,O
1000.722478,,16.624766,6.908281,16.774766,16.315740,,,,,,0,O
1001.727188,,16.612475,6.255651,16.762475,16.052613,,,,,,0,O
1002.731899,,16.600995,5.694899,16.750995,15.901112,,,,,,0,O
1003.736610,,16.598372,5.151214,16.748372,15.739036,,,,,,0,O
1004.741321,,16.591271,4.473826,16.741271,15.478792,,,,,,0,O
1005.746031,,16.581850,3.969004,16.731850,15.347687,,,,,,0,O
1006.750742,,16.573520,3.291753,16.723520,15.255576,,,,,,0,O
1007.755453,,16.558821,2.586087,16.708821,15.426741,,,,,,0,O
1008.760163,,16.536271,2.174367,16.686271,15.774301,,,,,,0,O
1009.764874,,16.509645,1.643414,16.659645,16.163600,,,,,,0,O
1010.769585,,16.483882,0.973898,16.633882,16.553827,,,,,,0,O
