time_s,temp0_C,temp1_C,temp2_C,temp3_C,temp4_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode
12.053,nan,9.74,9.66,10.45,9.98,nan,nan,nan,nan,nan,1,O
13.058,nan,9.74,9.48,10.44,9.93,nan,nan,nan,nan,nan,1,O
14.063,nan,9.70,9.30,10.43,10.02,nan,nan,nan,nan,nan,1,O
15.068,nan,9.68,9.19,10.46,10.02,nan,nan,nan,nan,nan,1,O
16.072,nan,9.67,8.98,10.45,9.98,nan,nan,nan,nan,nan,1,O
17.078,nan,9.68,8.80,10.39,9.98,nan,nan,nan,nan,nan,1,O
18.082,nan,9.68,8.57,10.39,9.98,nan,nan,nan,nan,nan,1,O
19.087,nan,9.70,8.29,10.45,9.96,nan,nan,nan,nan,nan,1,O
20.091,nan,9.77,8.09,10.45,10.06,nan,nan,nan,nan,nan,1,O
21.097,nan,9.66,7.85,10.39,9.98,nan,nan,nan,nan,nan,1,O
22.102,nan,9.72,7.53,10.38,10.05,nan,nan,nan,nan,nan,1,O
23.106,nan,9.70,7.33,10.44,10.02,nan,nan,nan,nan,nan,1,O
24.111,nan,9.79,6.98,10.45,10.00,nan,nan,nan,nan,nan,1,O
25.116,nan,9.65,6.70,10.44,9.95,nan,nan,nan,nan,nan,1,O
26.121,nan,9.77,6.42,10.45,9.96,nan,nan,nan,nan,nan,1,O
27.125,nan,9.79,6.14,10.45,10.02,nan,nan,nan,nan,nan,1,O
28.131,nan,9.74,5.75,10.39,10.02,nan,nan,nan,nan,nan,1,O
29.135,nan,9.70,5.35,10.44,9.98,nan,nan,nan,nan,nan,1,O
30.140,nan,9.78,5.09,10.43,10.02,nan,nan,nan,nan,nan,1,O
31.144,nan,9.66,4.64,10.43,10.02,nan,nan,nan,nan,nan,1,O
32.150,nan,9.70,4.34,10.45,9.98,nan,nan,nan,nan,nan,1,O
33.155,nan,9.74,4.01,10.45,10.02,nan,nan,nan,nan,nan,1,O
34.159,nan,9.74,3.67,10.41,10.02,nan,nan,nan,nan,nan,1,O
35.165,nan,9.74,3.24,10.50,10.02,nan,nan,nan,nan,nan,1,O
36.169,nan,9.74,2.94,10.44,10.05,nan,nan,nan,nan,nan,1,O
37.174,nan,9.70,2.59,10.41,9.98,nan,nan,nan,nan,nan,1,O
38.178,nan,9.78,2.24,10.43,10.06,nan,nan,nan,nan,nan,1,O
39.184,nan,9.72,1.95,10.52,10.02,nan,nan,nan,nan,nan,1,O
40.188,nan,9.74,1.61,10.43,10.07,nan,nan,nan,nan,nan,1,O
41.193,nan,9.66,1.30,10.46,9.98,nan,nan,nan,nan,nan,1,O
42.199,nan,9.68,0.98,10.45,10.02,nan,nan,nan,nan,nan,1,O
43.203,nan,9.72,0.74,10.48,10.00,nan,nan,nan,nan,nan,1,O
44.208,nan,9.73,0.35,10.38,9.93,nan,nan,nan,nan,nan,1,O
45.212,nan,9.68,0.08,10.46,9.98,nan,nan,nan,nan,nan,1,O
46.218,nan,9.74,-0.23,10.48,10.04,nan,nan,nan,nan,nan,1,O
47.222,nan,9.76,-0.51,10.41,9.96,nan,nan,nan,nan,nan,1,O
48.227,nan,9.83,-0.80,10.48,10.06,nan,nan,nan,nan,nan,1,O
49.232,nan,9.74,-1.05,10.44,10.09,nan,nan,nan,nan,nan,1,O
50.237,nan,9.68,-1.45,10.41,9.98,nan,nan,nan,nan,nan,1,O
51.241,nan,9.73,-1.64,10.44,9.98,nan,nan,nan,nan,nan,1,O
52.246,nan,9.72,-1.91,10.39,9.98,nan,nan,nan,nan,nan,1,O
53.252,nan,9.79,-2.24,10.41,10.00,nan,nan,nan,nan,nan,1,O
54.256,nan,9.73,-2.46,10.45,9.98,nan,nan,nan,nan,nan,1,O
55.261,nan,9.79,-2.73,10.41,10.02,nan,nan,nan,nan,nan,1,O
56.265,nan,9.72,-2.99,10.48,10.05,nan,nan,nan,nan,nan,1,O
57.271,nan,9.72,-3.26,10.41,9.98,nan,nan,nan,nan,nan,1,O
58.275,nan,9.74,-3.55,10.52,9.98,nan,nan,nan,nan,nan,1,O
59.280,nan,9.67,-3.80,10.45,9.98,nan,nan,nan,nan,nan,1,O
60.284,nan,9.76,-4.02,10.39,9.98,nan,nan,nan,nan,nan,1,O
61.290,nan,9.73,-4.30,10.48,9.90,nan,nan,nan,nan,nan,1,O
62.295,nan,9.70,-4.52,10.45,9.98,nan,nan,nan,nan,nan,1,O
63.299,nan,9.78,-4.85,10.48,9.98,nan,nan,nan,nan,nan,1,O
64.304,nan,9.74,-5.09,10.50,9.93,nan,nan,nan,nan,nan,1,O
65.309,nan,9.73,-5.25,10.50,10.04,nan,nan,nan,nan,nan,1,O
66.314,nan,9.77,-5.54,10.46,9.98,nan,nan,nan,nan,nan,1,O
67.318,nan,9.73,-5.72,10.46,10.02,nan,nan,nan,nan,nan,1,O
68.324,nan,9.80,-5.93,10.41,9.95,nan,nan,nan,nan,nan,1,O
69.328,nan,9.74,-6.09,10.48,9.91,nan,nan,nan,nan,nan,1,O
70.333,nan,9.78,-6.42,10.41,9.94,nan,nan,nan,nan,nan,1,O
71.337,nan,9.80,-6.59,10.46,9.98,nan,nan,nan,nan,nan,1,O
72.343,nan,9.77,-6.82,10.48,9.96,nan,nan,nan,nan,nan,1,O
73.348,nan,9.77,-7.05,10.48,9.93,nan,nan,nan,nan,nan,1,O
74.352,nan,9.79,-7.17,10.43,9.85,nan,nan,nan,nan,nan,1,O
75.357,nan,9.74,-7.45,10.44,9.74,nan,nan,nan,nan,nan,1,O
76.362,nan,9.72,-7.63,10.41,9.65,nan,nan,nan,nan,nan,1,O
77.367,nan,9.70,-7.86,10.45,9.55,nan,nan,nan,nan,nan,1,O
78.371,nan,9.66,-8.07,10.50,9.38,nan,nan,nan,nan,nan,1,O
79.377,nan,9.70,-8.20,10.38,9.30,nan,nan,nan,nan,nan,1,O
80.381,nan,9.61,-8.43,10.44,9.00,nan,nan,nan,nan,nan,1,O
81.386,nan,9.61,-8.64,10.41,8.94,nan,nan,nan,nan,nan,1,O
82.391,nan,9.67,-8.80,10.45,8.74,nan,nan,nan,nan,nan,1,O
83.396,nan,9.61,-9.05,10.45,8.52,nan,nan,nan,nan,nan,1,O
84.401,nan,9.63,-9.16,10.44,8.56,nan,nan,nan,nan,nan,1,O
85.405,nan,9.54,-9.47,10.46,8.34,nan,nan,nan,nan,nan,1,O
86.410,nan,9.59,-9.65,10.48,8.09,nan,nan,nan,nan,nan,1,O
87.415,nan,9.63,-9.92,10.52,7.95,nan,nan,nan,nan,nan,1,O
88.420,nan,9.59,-10.04,10.50,7.77,nan,nan,nan,nan,nan,1,O
89.424,nan,9.51,-10.25,10.39,7.62,nan,nan,nan,nan,nan,1,O
90.430,nan,9.59,-10.52,10.41,7.46,nan,nan,nan,nan,nan,1,O
91.435,nan,9.61,-10.66,10.43,7.24,nan,nan,nan,nan,nan,1,O
92.439,nan,9.59,-10.88,10.43,7.14,nan,nan,nan,nan,nan,1,O
93.444,nan,9.59,-11.08,10.52,6.95,nan,nan,nan,nan,nan,1,O
94.449,nan,9.51,-11.37,10.45,6.84,nan,nan,nan,nan,nan,1,O
95.454,nan,9.50,-11.51,10.50,6.60,nan,nan,nan,nan,nan,1,O
96.458,nan,9.50,-11.71,10.44,6.48,nan,nan,nan,nan,nan,1,O
97.464,nan,9.48,-11.91,10.48,6.32,nan,nan,nan,nan,nan,1,O
98.468,nan,9.51,-12.11,10.43,6.19,nan,nan,nan,nan,nan,1,O
99.473,nan,9.52,-12.27,10.43,6.01,nan,nan,nan,nan,nan,1,O
100.478,nan,9.46,-12.46,10.52,5.92,nan,nan,nan,nan,nan,1,O
101.483,nan,9.48,-12.70,10.48,5.69,nan,nan,nan,nan,nan,1,O
102.488,nan,9.48,-12.78,10.43,5.67,nan,nan,nan,nan,nan,1,O
103.493,nan,9.48,-13.13,10.45,5.49,nan,nan,nan,nan,nan,1,O
104.498,nan,9.45,-13.25,10.38,5.39,nan,nan,nan,nan,nan,1,O
105.502,nan,9.43,-13.52,10.48,5.20,nan,nan,nan,nan,nan,1,O
106.508,nan,9.41,-13.68,10.45,5.16,nan,nan,nan,nan,nan,1,O
107.512,nan,9.44,-13.86,10.45,5.11,nan,nan,nan,nan,nan,1,O
108.517,nan,9.33,-14.02,10.48,4.96,nan,nan,nan,nan,nan,1,O
109.522,nan,9.41,-14.24,10.34,4.87,nan,nan,nan,nan,nan,1,O
110.527,nan,9.30,-14.36,10.48,4.87,nan,nan,nan,nan,nan,1,O
111.533,nan,9.23,-14.59,10.52,4.79,nan,nan,nan,nan,nan,1,O
112.537,nan,9.33,-14.70,10.44,4.63,nan,nan,nan,nan,nan,1,O
113.542,nan,9.28,-14.82,10.48,4.57,nan,nan,nan,nan,nan,1,O
114.547,nan,9.30,-15.07,10.43,4.48,nan,nan,nan,nan,nan,1,O
115.552,nan,9.22,-15.27,10.54,4.44,nan,nan,nan,nan,nan,1,O
116.556,nan,9.30,-15.35,10.48,4.46,nan,nan,nan,nan,nan,1,O
117.562,nan,9.20,-15.52,10.52,4.34,nan,nan,nan,nan,nan,1,O
118.566,nan,9.22,-15.72,10.54,4.29,nan,nan,nan,nan,nan,1,O
119.571,nan,9.15,-15.73,10.52,4.13,nan,nan,nan,nan,nan,1,O
120.577,nan,9.19,-15.81,10.52,4.14,nan,nan,nan,nan,nan,1,O
121.581,nan,9.13,-16.02,10.55,4.14,nan,nan,nan,nan,nan,1,O
122.587,nan,9.05,-16.08,10.43,4.08,nan,nan,nan,nan,nan,1,O
123.591,nan,8.96,-16.24,10.46,3.97,nan,nan,nan,nan,nan,1,O
124.596,nan,8.94,-16.42,10.50,3.92,nan,nan,nan,nan,nan,1,O
125.601,nan,8.83,-16.60,10.44,3.86,nan,nan,nan,nan,nan,1,O
