time_s,temp0_C,temp1_C,temp2_C,temp3_C,temp4_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode
65.313,nan,2.03,-54.54,3.10,-19.52,nan,nan,nan,nan,nan,1,O
66.318,nan,5.09,-54.73,3.10,-19.51,nan,nan,nan,nan,nan,1,O
67.322,nan,7.79,-54.77,2.98,-18.97,nan,nan,nan,nan,nan,1,O
68.327,nan,9.70,-52.57,3.32,-18.48,nan,nan,nan,nan,nan,1,O
69.332,nan,11.27,-50.51,3.73,-17.92,nan,nan,nan,nan,nan,1,O
70.337,nan,12.41,-48.01,4.07,-17.16,nan,nan,nan,nan,nan,1,O
71.343,nan,13.11,-43.61,4.41,-15.05,nan,nan,nan,nan,nan,1,O
72.347,nan,13.64,-39.64,4.93,-13.97,nan,nan,nan,nan,nan,1,O
73.352,nan,14.08,-36.88,5.09,-13.16,nan,nan,nan,nan,nan,1,O
74.357,nan,14.27,-34.88,5.45,-12.70,nan,nan,nan,nan,nan,1,O
75.362,nan,14.45,-30.37,5.41,-12.31,nan,nan,nan,nan,nan,1,O
76.366,nan,14.60,-26.66,5.38,-11.90,nan,nan,nan,nan,nan,1,O
77.372,nan,15.04,-24.77,5.44,-11.51,nan,nan,nan,nan,nan,1,O
78.376,nan,15.60,-23.80,5.54,-10.16,nan,nan,nan,nan,nan,1,O
79.382,nan,16.06,-20.41,5.72,-7.90,nan,nan,nan,nan,nan,1,O
80.387,nan,16.37,-16.95,5.88,-6.55,nan,nan,nan,nan,nan,1,O
81.391,nan,16.58,-13.05,6.15,-3.80,nan,nan,nan,nan,nan,1,O
82.397,nan,16.77,-9.27,6.54,0.30,nan,nan,nan,nan,nan,1,O
83.401,nan,16.85,-7.51,7.22,5.93,nan,nan,nan,nan,nan,1,O
84.406,nan,16.98,-6.60,7.81,8.96,nan,nan,nan,nan,nan,1,O
85.410,nan,16.98,-6.27,8.46,11.38,nan,nan,nan,nan,nan,1,O
86.416,nan,16.94,-5.64,10.41,12.97,nan,nan,nan,nan,nan,1,O
87.420,nan,16.95,-3.29,11.73,13.84,nan,nan,nan,nan,nan,1,O
88.425,nan,16.91,-1.40,12.33,14.41,nan,nan,nan,nan,nan,1,O
89.431,nan,16.98,0.05,12.48,14.66,nan,nan,nan,nan,nan,1,O
90.435,nan,16.91,2.57,12.67,15.05,nan,nan,nan,nan,nan,1,O
91.440,nan,16.89,6.60,12.95,15.32,nan,nan,nan,nan,nan,1,O
